name,ratings,location,price_lakhs,price_crores,area_sqft,bhk
sobha royal pavilion,4.2,sarjapur road,240.0,2.4,1507,3
sobha royal pavilion,4.2,"carmelaram, sarjapur road",288.0,2.88,1800,3
sobha windsor,4.3,whitefield,210.0,2.1,1550,3
"vajarahalli, bangalore, bangalore south",,vajarahalli,445.0,4.45,1500,4
sobha royal pavilion,4.2,sarjapur road,380.0,3.8,2232,4
unicca emporis,,varthur,220.00000000000003,2.2,2184,3
prestige park square,3.9,"basavanapura, bannerghatta road",229.99999999999997,2.3,1771,3
shriram smrithi,,sarjapura attibele road,83.0,0.83,1525,3
sobha windsor,4.3,whitefield,350.0,3.5,2200,4
sobha windsor,4.3,whitefield,370.0,3.7,2200,4
jain heights east parade,3.8,"c v raman nagar, kaggadasapura",350.0,3.5,3504,4
galaxy sri nandana galaxy,,sarjapur road,102.0,1.02,1405,3
galaxy sri nandana galaxy,,sarjapur road,108.0,1.08,1485,3
mahaveer maple,,brookefield,122.0,1.22,1168,2
shriram summit,,electronics city phase 1,127.0,1.27,1175,2
vajram essenza,,"chokkanahalli, near thanisandra",112.00000000000001,1.12,1271,2
sri nandana galaxy,,"chambenahalli, sarjapur road",93.0,0.93,1350,3
sri nandana galaxy,,"chambenahalli, sarjapur road",107.0,1.07,1485,3
prestige city avalon park,,sarjapur road,240.0,2.4,1657,3
concorde auriga,,kr puram,215.0,2.15,1744,3
galaxy sri nandana galaxy,,sarjapur road,75.0,0.75,1005,2
concorde auriga,,kr puram,229.99999999999997,2.3,1758,3
bhartiya the leela residences,3.7,"chokkanahalli, near thanisandra",360.0,3.6,1800,2
shriram smrithi,,sarjapura attibele road,66.0,0.66,1196,2
sattva east crest,3.6,"bandapura, old madras road",119.0,1.19,1171,2
ramky one north,4.3,avalahalli,77.0,0.77,1101,3
ramky one north,4.3,avalahalli,67.0,0.67,880,2
shriram luxor,3.5,"kannur, thanisandra main road",120.0,1.2,1195,2
sobha habitech,3.7,"ambedkar nagar, whitefield",254.99999999999997,2.55,1852,3
shriram chirping grove,,sarjapur,240.0,2.4,1900,4
"isro layout, bangalore, bangalore south",,isro layout,188.0,1.88,2200,3
trifecta joli,,sarjapur road,110.00000000000001,1.1,1450,3
heritage,,electronic city,54.0,0.54,1053,2
shriram chirping grove,,sarjapur,250.0,2.5,1900,4
concorde auriga,,kr puram,130.0,1.3,1135,2
raggi gudda temple,,2nd phase jp nagar,330.0,3.3,2200,3
sattva east crest,3.6,"bandapura, old madras road",125.0,1.25,1182,2
prestige finsbury park,4.1,bagalur,130.0,1.3,1277,3
ahad serenity,,sarjapur road,119.0,1.19,1229,3
president leon,,yelahanka,92.0,0.92,1365,3
emerald,,electronic city,55.0,0.55,1134,2
royal sri sai nandanaroyal,,"koppa, bommasandra",53.5,0.535,1185,2
amigo estella,,"rk hegde nagar, thanisandra main road",143.0,1.43,1778,3
brigade parkside north,3.7,"jalahalli, bel road",114.99999999999999,1.15,1125,2
purva westend,,"garebhavipalya, hosur road",229.99999999999997,2.3,1508,3
sattva misty charm,4.0,kanakapura road,95.0,0.95,960,2
prestige park square,3.9,"basavanapura, bannerghatta road",278.0,2.78,1771,4
"jp nagar, bangalore, bangalore south",,jp nagar,345.0,3.45,1200,5
shriram luxor,3.5,"kannur, thanisandra main road",114.99999999999999,1.15,1195,2
sri nandana galaxy,,"chambenahalli, sarjapur road",72.0,0.72,1040,2
prestige finsbury park,4.1,bagalur,132.0,1.32,1277,3
prestige primrose hills,,"uttarahalli manavarthekaval, kanakapura road",110.00000000000001,1.1,720,2
sattva divinity,4.1,mysore road,300.0,3.0,1864,3
bren zahara,3.8,sarjapur road,254.99999999999997,2.55,1784,3
shriram summit,,electronics city phase 1,135.0,1.35,1305,2
rj enclave apartment,,junnasandra,55.0,0.55,1005,2
emmay environs pride,,whitefield,77.0,0.77,1075,2
elegant davis,,pulikeshi nagar,250.0,2.5,2200,3
sobha dream gardens,3.7,thanisandra,120.0,1.2,1052,2
bhartiya city nikoo homes 1,,thanisandra,126.0,1.26,1113,2
sekhar olympus,,horamavu,145.0,1.45,1459,3
sobha royal pavilion,4.2,sarjapur road,320.0,3.2,1804,3
sree adithya lotus park,,"kodigehalli, kr puram",86.71,0.8671,1196,2
green view,,electronic city,49.0,0.49,918,2
sobha silicon oasis,4.0,"beratena agrahara, near hosa road",164.0,1.64,1370,2
"vajarahalli, bangalore, bangalore south",,vajarahalli,490.00000000000006,4.9,1500,4
vaishnavi splendour,,ashwathnagar,490.00000000000006,4.9,2204,3
saroj harmony,,varthur,161.0,1.61,1725,3
marvel sequoia,,"vsr layout, mahadevapura",125.0,1.25,1295,2
